,pred_scGen_default,pred_scGen_shallow,pred_linreg
euclidean,0.6894134283065796,0.7150188088417053,0.616886792466631
spearman_distance,0.2487846877018478,0.25889780007685603,0.16646995786302143
mean_absolute_error,0.008583141034091713,0.00919444525419776,0.007048333722492815
r2_distance,0.23245544864112322,0.26920676035098245,0.16420472012802523
pearson_distance,0.11909878557781461,0.130676252393906,0.08341806404237673
mse,0.00025335334495172246,0.0002725223331542703,0.00020285144707876776
cosine_distance,0.0871361494064331,0.09380275011062622,0.06075337751061061
edistance,0.7680959701538086,2.4407224655151367,0.04326234229366577
jeffreys,1378202863670.8174,957383126298.6985,18658278810975.605
mmd,0.47528743743896484,0.5112485885620117,0.38054931471976605
ks_test,0.647480063965886,0.7215038379530924,0.5669298507462688
t_test,3.6259542429011686,5.625007209015892,0.9635306328209138
wasserstein,339.86572265625,277.2305603027344,495.7943420410156
classifier_proba,0.8340529813985937,0.8611917526681832,0.5089165044822229
kendalltau_distance,373711.4682332208,380960.3355018221,293983.16970099823
